CustomerID,JoinDate,Region,Gender,AgeGroup
C00001,2022-10-15,South America,Male,18-24
C00002,2021-12-01,Asia,Male,35-44
C00003,2022-05-25,South America,Other,55+
C00004,2023-10-11,Europe,Female,45-54
C00005,2021-01-06,North America,Female,18-24
C00006,2021-05-26,Europe,Male,25-34
C00007,2023-03-16,South America,Male,45-54
C00008,2023-09-19,South America,Male,45-54
C00009,2021-06-14,Asia,Other,55+
C00010,2022-11-22,Australia,Female,45-54
C00011,2023-12-06,South America,Female,55+
C00012,2021-09-09,South America,Other,35-44
C00013,2021-08-11,Asia,Male,45-54
C00014,2021-05-11,Europe,Male,45-54
C00015,2021-09-21,South America,Other,35-44
C00016,2024-03-20,Australia,Female,18-24
C00017,2023-09-02,Australia,Male,18-24
C00018,2021-07-26,North America,Other,45-54
C00019,2023-09-07,South America,Male,25-34
C00020,2021-11-25,Australia,Male,35-44
C00021,2022-06-03,Europe,Other,25-34
C00022,2024-02-03,North America,Male,18-24
C00023,2023-09-09,Asia,Male,18-24
C00024,2022-02-08,North America,Female,35-44
C00025,2021-07-30,Europe,Other,45-54
C00026,2022-03-24,Europe,Male,35-44
C00027,2021-01-07,North America,Other,18-24
C00028,2021-10-30,Europe,Male,25-34
C00029,2023-08-13,Asia,Male,18-24
C00030,2021-01-19,South America,Female,18-24
C00031,2022-12-20,Europe,Male,35-44
C00032,2022-12-26,Australia,Other,18-24
C00033,2021-05-07,South America,Female,45-54
C00034,2022-04-04,North America,Male,35-44
C00035,2021-02-13,Australia,Male,35-44
C00036,2023-12-05,Australia,Other,35-44
C00037,2024-03-23,Europe,Male,35-44
C00038,2021-03-13,Australia,Other,55+
C00039,2023-12-05,South America,Female,45-54
C00040,2022-11-24,Asia,Female,55+
C00041,2023-06-10,Europe,Female,55+
C00042,2023-01-27,South America,Male,55+
C00043,2022-11-30,Asia,Male,55+
C00044,2021-01-25,Europe,Female,45-54
C00045,2021-09-10,North America,Male,45-54
C00046,2022-10-16,North America,Male,45-54
C00047,2023-07-12,Europe,Female,45-54
C00048,2021-10-28,North America,Female,18-24
C00049,2021-12-10,Australia,Male,45-54
C00050,2023-10-20,Europe,Other,55+
C00051,2024-03-16,Australia,Female,18-24
C00052,2023-11-28,North America,Other,18-24
C00053,2022-03-08,Australia,Female,25-34
C00054,2022-12-20,Asia,Female,25-34
C00055,2022-03-02,Europe,Other,25-34
C00056,2022-02-13,Asia,Other,18-24
C00057,2021-08-02,Australia,Other,55+
C00058,2021-10-13,Europe,Other,35-44
C00059,2021-02-23,Europe,Male,55+
C00060,2022-08-30,North America,Female,35-44
C00061,2022-03-28,Asia,Male,45-54
C00062,2022-12-13,Asia,Male,18-24
C00063,2023-01-26,Europe,Other,18-24
C00064,2021-06-21,Europe,Other,55+
C00065,2024-01-26,South America,Male,55+
C00066,2024-02-10,Asia,Female,35-44
C00067,2022-12-24,Europe,Other,35-44
C00068,2022-04-11,Australia,Female,25-34
C00069,2022-03-12,South America,Other,55+
C00070,2021-09-03,North America,Male,18-24
C00071,2021-11-29,Asia,Female,35-44
C00072,2021-10-23,Australia,Female,18-24
C00073,2021-07-28,Australia,Other,25-34
C00074,2024-03-05,North America,Female,45-54
C00075,2024-02-23,Australia,Male,55+
C00076,2022-12-19,Australia,Other,55+
C00077,2023-05-28,North America,Male,35-44
C00078,2022-02-13,South America,Other,25-34
C00079,2021-04-21,North America,Female,25-34
C00080,2022-07-11,Europe,Female,55+
C00081,2022-09-03,Asia,Female,45-54
C00082,2021-04-17,North America,Other,55+
C00083,2022-09-26,Europe,Other,25-34
C00084,2024-04-05,Europe,Female,18-24
C00085,2022-04-20,North America,Female,55+
C00086,2022-02-07,South America,Female,25-34
C00087,2023-08-25,Australia,Male,45-54
C00088,2023-06-25,Asia,Other,55+
C00089,2022-01-11,North America,Male,18-24
C00090,2023-01-31,Asia,Other,55+
C00091,2022-10-11,North America,Other,25-34
C00092,2021-12-23,South America,Female,55+
C00093,2021-05-13,South America,Female,55+
C00094,2022-01-11,South America,Other,18-24
C00095,2022-07-03,Asia,Male,25-34
C00096,2023-03-02,South America,Male,25-34
C00097,2021-11-02,South America,Male,45-54
C00098,2023-02-09,Europe,Female,35-44
C00099,2021-08-29,Asia,Female,45-54
C00100,2023-03-01,Europe,Male,45-54
C00101,2023-07-23,North America,Female,55+
C00102,2023-07-25,Asia,Male,35-44
C00103,2023-01-03,Europe,Other,25-34
C00104,2022-01-06,Europe,Female,45-54
C00105,2023-04-18,Australia,Female,55+
C00106,2023-10-29,South America,Male,18-24
C00107,2023-01-21,Asia,Other,18-24
C00108,2024-03-24,North America,Female,25-34
C00109,2024-03-17,Australia,Female,25-34
C00110,2021-07-20,Australia,Female,45-54
C00111,2021-01-28,Asia,Other,55+
C00112,2021-07-12,Australia,Other,45-54
C00113,2024-01-14,North America,Other,55+
C00114,2024-02-19,Europe,Female,25-34
C00115,2021-09-11,Europe,Male,45-54
C00116,2022-03-09,South America,Female,35-44
C00117,2022-10-22,South America,Male,45-54
C00118,2021-11-23,North America,Other,35-44
C00119,2022-07-07,Europe,Male,35-44
C00120,2023-04-16,Asia,Other,35-44
C00121,2022-08-24,Europe,Male,18-24
C00122,2023-05-10,Australia,Female,55+
C00123,2022-09-24,Europe,Other,18-24
C00124,2021-01-02,South America,Other,35-44
C00125,2022-04-19,Asia,Female,45-54
C00126,2022-08-14,South America,Female,45-54
C00127,2022-04-29,North America,Male,25-34
C00128,2022-03-02,North America,Male,45-54
C00129,2022-08-24,Asia,Other,55+
C00130,2022-06-19,Australia,Other,18-24
C00131,2021-04-19,Australia,Male,18-24
C00132,2021-11-25,Europe,Other,18-24
C00133,2024-02-07,South America,Female,25-34
C00134,2021-02-01,South America,Male,45-54
C00135,2021-02-17,Europe,Male,25-34
C00136,2021-12-06,North America,Male,55+
C00137,2022-11-30,South America,Male,35-44
C00138,2024-04-04,Europe,Male,18-24
C00139,2024-04-06,Asia,Other,25-34
C00140,2024-04-06,Australia,Male,25-34
C00141,2021-05-13,Asia,Other,18-24
C00142,2023-03-09,Australia,Other,55+
C00143,2022-09-21,Asia,Female,25-34
C00144,2021-07-27,Asia,Male,18-24
C00145,2024-02-06,South America,Other,18-24
C00146,2021-10-18,Europe,Female,35-44
C00147,2024-04-13,South America,Male,55+
C00148,2022-12-01,Asia,Male,25-34
C00149,2021-08-08,North America,Male,18-24
C00150,2022-04-10,North America,Other,25-34
C00151,2021-08-16,South America,Male,45-54
C00152,2022-05-08,North America,Female,55+
C00153,2022-12-15,North America,Female,45-54
C00154,2023-05-10,North America,Female,45-54
C00155,2022-08-08,North America,Male,25-34
C00156,2022-01-07,Europe,Male,25-34
C00157,2022-11-24,Australia,Male,55+
C00158,2022-06-15,Europe,Male,35-44
C00159,2022-03-08,North America,Female,25-34
C00160,2022-01-21,Asia,Other,35-44
C00161,2021-09-07,North America,Other,45-54
C00162,2022-06-26,Asia,Other,18-24
C00163,2022-08-14,Europe,Other,55+
C00164,2023-12-15,South America,Other,55+
C00165,2023-05-26,Australia,Other,35-44
C00166,2023-07-14,Europe,Other,18-24
C00167,2022-03-27,South America,Female,55+
C00168,2022-02-17,North America,Other,35-44
C00169,2023-02-26,South America,Other,35-44
C00170,2023-05-04,South America,Female,35-44
C00171,2021-05-17,Europe,Other,18-24
C00172,2021-06-09,North America,Male,55+
C00173,2022-07-02,Europe,Male,25-34
C00174,2021-07-11,Asia,Male,45-54
C00175,2024-02-28,Europe,Male,25-34
C00176,2023-10-03,South America,Male,25-34
C00177,2022-09-17,Europe,Male,55+
C00178,2021-09-19,Asia,Male,55+
C00179,2021-06-11,South America,Male,55+
C00180,2024-03-20,Europe,Other,45-54
C00181,2023-04-29,South America,Female,35-44
C00182,2023-10-29,North America,Other,45-54
C00183,2022-04-10,South America,Other,25-34
C00184,2021-10-29,Australia,Female,55+
C00185,2021-12-26,North America,Female,18-24
C00186,2023-10-26,Asia,Male,55+
C00187,2022-07-22,Asia,Male,18-24
C00188,2023-03-07,Europe,Other,18-24
C00189,2023-08-25,Asia,Female,18-24
C00190,2021-10-31,Australia,Male,55+
C00191,2021-04-06,Europe,Male,25-34
C00192,2023-05-30,Asia,Other,45-54
C00193,2024-02-28,Australia,Female,35-44
C00194,2024-02-19,Australia,Male,18-24
C00195,2022-08-12,South America,Female,25-34
C00196,2023-01-29,North America,Other,35-44
C00197,2023-05-30,Europe,Male,45-54
C00198,2023-12-19,Europe,Male,18-24
C00199,2021-07-14,Asia,Other,45-54
C00200,2022-05-03,South America,Other,55+
C00201,2022-05-16,South America,Other,45-54
C00202,2023-04-15,Australia,Female,18-24
C00203,2022-05-25,Europe,Other,45-54
C00204,2023-10-27,North America,Other,25-34
C00205,2023-10-14,Australia,Male,55+
C00206,2021-03-26,South America,Other,35-44
C00207,2021-12-29,South America,Male,35-44
C00208,2024-03-21,Europe,Female,55+
C00209,2021-02-12,South America,Female,18-24
C00210,2022-08-14,Europe,Female,35-44
C00211,2024-02-17,South America,Male,45-54
C00212,2023-08-31,North America,Male,45-54
C00213,2021-12-20,Australia,Female,55+
C00214,2022-12-17,Australia,Other,45-54
C00215,2022-06-02,Australia,Male,35-44
C00216,2022-12-12,Asia,Male,35-44
C00217,2023-12-09,Asia,Other,18-24
C00218,2022-10-27,Australia,Female,25-34
C00219,2022-08-15,Europe,Male,45-54
C00220,2022-01-19,Australia,Female,45-54
C00221,2021-11-13,Asia,Female,45-54
C00222,2022-10-13,Asia,Male,18-24
C00223,2021-04-09,Australia,Male,45-54
C00224,2023-02-02,North America,Male,35-44
C00225,2023-08-14,Australia,Other,45-54
C00226,2024-02-20,Asia,Female,55+
C00227,2023-04-02,South America,Male,55+
C00228,2022-08-09,North America,Male,35-44
C00229,2022-08-06,North America,Other,25-34
C00230,2024-03-06,Australia,Female,25-34
C00231,2021-09-11,Australia,Male,25-34
C00232,2022-05-09,Europe,Male,55+
C00233,2024-04-02,Australia,Other,35-44
C00234,2021-02-04,Asia,Female,18-24
C00235,2023-04-22,North America,Female,55+
C00236,2021-01-31,Australia,Female,55+
C00237,2022-01-21,Asia,Male,55+
C00238,2021-03-30,North America,Male,18-24
C00239,2021-03-15,North America,Other,25-34
C00240,2021-05-14,North America,Female,45-54
C00241,2021-07-23,Asia,Female,18-24
C00242,2023-01-24,South America,Other,25-34
C00243,2022-06-11,Europe,Female,35-44
C00244,2023-09-25,Australia,Male,18-24
C00245,2021-10-15,Australia,Female,45-54
C00246,2021-08-17,Europe,Other,18-24
C00247,2023-05-05,Asia,Male,45-54
C00248,2023-10-27,Australia,Male,55+
C00249,2022-11-02,Europe,Other,55+
C00250,2023-04-26,Australia,Female,18-24
C00251,2022-12-28,Asia,Other,25-34
C00252,2022-11-03,South America,Female,55+
C00253,2023-10-30,Australia,Other,45-54
C00254,2024-01-09,Australia,Other,55+
C00255,2023-10-17,Australia,Female,55+
C00256,2021-11-02,North America,Male,55+
C00257,2023-11-20,Europe,Male,45-54
C00258,2022-06-07,Asia,Other,25-34
C00259,2023-05-26,Europe,Other,35-44
C00260,2022-05-11,Australia,Male,25-34
C00261,2021-08-18,Asia,Male,18-24
C00262,2023-04-28,South America,Other,18-24
C00263,2021-10-16,Australia,Male,45-54
C00264,2023-10-19,Australia,Female,45-54
C00265,2023-09-16,North America,Male,18-24
C00266,2022-09-23,North America,Male,18-24
C00267,2022-04-09,Europe,Female,55+
C00268,2022-12-11,Europe,Female,35-44
C00269,2021-06-15,Europe,Female,25-34
C00270,2023-08-28,Australia,Female,25-34
C00271,2024-03-04,North America,Other,45-54
C00272,2023-07-25,Australia,Other,45-54
C00273,2021-10-15,Australia,Male,18-24
C00274,2023-11-07,Australia,Male,45-54
C00275,2023-08-28,South America,Female,45-54
C00276,2021-03-18,Australia,Other,25-34
C00277,2021-10-05,Australia,Male,18-24
C00278,2022-12-09,South America,Female,35-44
C00279,2021-06-14,Europe,Other,55+
