SubID,CustomerID,PlanID,StartDate,EndDate,Status,PaymentMethod,DiscountPercent,Currency,InvoiceAmount
S000001,C07715,P003,2022-05-15,,Active,Credit Card,0,USD,49.99
S000002,C09854,P004,2022-08-07,2022-10-06,Cancelled,PayPal,15,EUR,169.98
S000003,C00504,P002,2021-03-22,,Active,PayPal,0,EUR,179.94
S000004,C08158,P003,2022-10-26,,Active,Credit Card,15,USD,42.49
S000005,C10313,P001,2021-06-08,,Active,Credit Card,0,USD,29.98
S000006,C02931,P004,2021-11-09,2022-08-06,Cancelled,Credit Card,5,USD,854.91
S000007,C14534,P001,2021-07-15,,Active,Bank Transfer,5,USD,28.48
S000008,C05881,P001,2022-03-30,,Active,Credit Card,5,INR,142.4
S000009,C04106,P001,2023-10-23,2024-06-19,Cancelled,PayPal,0,USD,119.92
S000010,C14552,P003,2021-09-24,,Active,Credit Card,0,INR,199.96
S000011,C08799,P002,2021-05-18,,Active,Bank Transfer,15,USD,25.49
S000012,C13007,P003,2021-09-15,,Active,Credit Card,20,USD,39.99
S000013,C09641,P004,2021-10-17,,Active,Credit Card,0,USD,1199.88
S000014,C01179,P003,2021-03-03,,Active,Bank Transfer,0,USD,549.89
S000015,C02232,P001,2022-10-05,,Active,Bank Transfer,0,EUR,74.95
S000016,C11033,P003,2023-02-08,,Active,Bank Transfer,10,USD,404.92
S000017,C03952,P002,2023-10-06,,Active,Bank Transfer,10,USD,26.99
S000018,C11924,P002,2022-06-13,,Active,PayPal,0,EUR,89.97
S000019,C03449,P004,2022-02-28,,Active,Credit Card,0,USD,699.93
S000020,C10616,P002,2021-02-26,,Active,Credit Card,20,EUR,239.92
S000021,C11765,P004,2021-06-04,,Active,PayPal,0,EUR,699.93
S000022,C06588,P004,2021-08-13,,Active,PayPal,0,EUR,599.94
S000023,C13750,P004,2023-12-17,,Active,Credit Card,0,USD,99.99
S000024,C03106,P002,2023-01-20,,Active,PayPal,10,USD,161.95
S000025,C14438,P004,2023-05-06,2023-07-05,Cancelled,PayPal,5,EUR,189.98
S000026,C09097,P003,2023-05-04,,Active,PayPal,20,USD,39.99
S000027,C04252,P004,2023-06-28,,Active,Bank Transfer,20,USD,479.95
S000028,C01598,P003,2022-05-01,2022-06-30,Cancelled,PayPal,0,USD,99.98
S000029,C09412,P003,2022-08-10,,Active,Bank Transfer,20,USD,439.91
S000030,C13431,P002,2022-07-20,2023-01-16,Cancelled,Credit Card,5,EUR,170.94
S000031,C03296,P001,2021-07-28,,Active,PayPal,0,USD,134.91
